日付,コ_ド,_柄名,市_·商品区分,33__コ_ド,33__区分,17__コ_ド,17__区分,_模コ_ド,_模区分
20220729,6369,ト_ヨ_カネツ,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6370,栗田工_,プライム（内国株式）,3600,_械,8,_械 ,4,TOPIX Mid400
20220729,6371,椿本チエイン,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6373,大同工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6376,日_装,プライム（内国株式）,3750,精密_器,9,__·精密 ,6,TOPIX Small 1
20220729,6378,木村化工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6379,レイズネクスト,プライム（内国株式）,2050,建__,3,建_·_材 ,7,TOPIX Small 2
20220729,6380,オリエンタルチエン工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6381,アネスト岩田,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6382,トリニティ工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6383,ダイフク,プライム（内国株式）,3600,_械,8,_械 ,4,TOPIX Mid400
20220729,6384,昭和真空,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6387,サムコ,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6390,加藤_作所,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6391,加地テック,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6392,ヤマダコ_ポレ_ション,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
